,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,نام,نام خانوادگی,آدرس,جنسیت,معدل,مقطع تحصیلی,رشته تحصیلی,سن,مهارت,تجربه کاری(به سال)
70,70,70,83,83,مهناز,"خوئینی
",خ . تهران نو   م  . چایچی  خ . شواخ   ک  . داوود قدیمی,-1.0,25,سیکل,"علوم دامی
",47,"پلیس 
",10
71,71,71,84,84,هانيه,"ملک
",خ هاشمی - نرسیده به جیهون - خ شهید دین محمدی - ک فلاح پور-,1.0,13,دکترا,"علوم تربیتی
",41,"مشاور
",5
72,72,72,85,85,حميده,"رستمی
",بریانک کوچه محبی,-1.0,20,کارشناسی ارشد,,50,"عکاس 
",14
73,73,73,87,87,سيدمحمد,"انوار
",جنت اباد . خیابان مخبری . بین ستاری و شاهین,-1.0,25,سیکل,"باستان‌شناسی
",49,"-1
",14
74,74,74,88,88,اسماعيل,"خمسه
",کردستان جنوب به شمال . ابتدای خیابان ادریس حسین پور,-1.0,20,سیکل,,52,"ارزیابی و تحلیلگری مالی
",26
75,75,75,90,90,فهيمه,"شرف
",خیابان علی آباد شمالی خیابان شهید همدانی کوچه مصطفی خمینی,-1.0,22,-1,"کتابداری
",16,"-1
",1
76,76,76,91,91,نسرين,"مستوفی
",جنت اباد جنوبی خ چهار باغ شرقی  15 متری اول جنوبی ک چهاردهم شرقی,1.0,23,ندارد,"جنگل‌داری
",55,,10
77,77,77,92,92,سميرا,"عصار
",خانی آباد نو شهرک بستان خ میثاق جنوبی ک 24,-1.0,13,فوق لیسانس,,31,"مسئول وصول مطالبات
",0
78,78,78,93,93,اشرف,"پناهنده
",خ هنگام خ 35 متری استقلال - خ سروش اصلی -  چهارراه شهیدگمنام ضلع جنوب غربی,0.0,21,لیسانس,"کاردانی هواپیما
",16,,0
79,79,79,94,94,احمدرضا,"سیف
",اتوبان نیایش -ورودی باکری,2.0,12,لیسانس,"مهندسی منابع طبیعی
",22,"جراح زیبایی  
",3
80,80,80,95,95,كوثر,"رحماندوست
",خ گرگان - بن بست ملک اسماعیلی,2.0,15,کارشناسی ارشد,"پرورش زنبور عسل
",32,"پرستار  
",12
81,81,81,97,97,فاطمه زهرا,"شیروانی
",خیابان هنگام خیابان 20 متری شمیران نو دور میدان پاکدامن,1.0,20,فوق لیسانس,"مهندسی مواد و طراحی صنایع غذایی
",36,"مهندس معماری
",7
82,82,82,98,98,اصغر,"توکل
",خ  مختاری  غربی  .  نبش  ک  مقدسی,1.0,14,سیکل,"0
",55,"عکاس 
",12
83,83,83,99,99,فاطمه سادات,"روزبه
",پیروزی . خ 6 . ک 6/28 ( تهرانی ) .,-1.0,13,فوق دکترا,"داروسازی
",39,"پلیس 
",13
84,84,84,100,100,مهري,"سرمد
",بلوار فردوس غرب-خ شقایق جنوبی-کوچه بیست و پنجم شرقی,1.0,20,دیپلم,"0
",20,"بازرسان مالی
",2
85,85,85,101,101,هاجر,"اعلم
",شهرک غرب- خ سیمای ایران-,2.0,25,سیکل,"شیمی
",25,"0
",0
86,86,86,102,102,ميثم,"سبحانی
",فکله اول تهرانپارس خ رشید خ شهید حسینی,-1.0,14,کاردانی,"مهندسی معماری
",21,"اپتومتریست
",7
87,87,87,103,103,وحيد,"رنجبر
",خ ظفر . خ آقا زاده فرد ( اطلسی ) . خ 15 . ک یاس .,-1.0,12,کاردانی,,24,"مهندس برق، الکترونیک، مخابرات
",1
88,88,88,104,104,افسانه,"خدایی
",بلوار پروین -خ -208    بین  پروین   و خیری,-1.0,14,فوق دکترا,"تکنولوژی تولیدات دامی
",23,"پیک موتوری  
",0
89,89,89,105,105,ميلاد,"مهدی‌پور
",ازادی خیابان لاخر,1.0,22,فوق لیسانس,"شیلات
",53,"منشی  
",17
90,90,90,106,106,داود,"زین‌الدین
",نارمک- میدان هلال احمر- خ گلستان -خ سهیلیان- کوچه ربیعی-,0.0,12,سیکل,"مهندسی تولیدات گیاهی
",50,"مهندسی نساجی
",7
91,91,91,107,107,ربابه,"سپه‌وند
",دکتر بهشتی -خیابان اندیشه - اندیشه چهار شرقی ( احدی),1.0,13,کارشناسی ارشد,"-1
",17,"اپتومتریست
",1
92,92,92,108,108,نازنين زهرا,"حکمی
",نعمت آباد - شهرک ابوذر - ک صبا چهارم -,-1.0,18,کاردانی,"مهندسی اپتیک و لیزر
",23,"راننده  
",3
93,93,93,109,109,سعيده,"پیرحیاتی
",سعادت اباد خ مطهری شمالی بعد از ک صدف,2.0,25,سیکل,,54,"کارشناس فروش 
",0
94,94,94,110,110,ناصر,"عالی
",تهرانسر . بلوار یاس . خیابان گل محمدی . داخل بوستان گل محمدی. فلکه داخل دریچه سبز رنگ,2.0,18,ندارد,"بیوتکنولوژی
",22,"کارشناس محیط زیست 
",9
95,95,95,111,111,سحر,"میرسپاسی
",ستارخان - کوثر دوم - کوچه مهدوی,1.0,15,لیسانس,"مهندسی پزشکی
",46,"-1
",22
96,96,96,113,113,اميد,"آشوری
",حکیمیه - خ بهشت - ک ارکیده یک,1.0,14,کارشناسی,"کاردان فنی برق
",39,"موزه داران
",13
97,97,97,114,114,علي رضا,"معین
",خ ولیعصر خ فرشته خ اخگری نرسیده به میدان,0.0,22,کارشناسی ارشد,"رشته‌های علوم انسانی
",32,"داروسازی
",10
98,98,98,115,115,مهين,"خوئینی
",ضلع غربی دریاچه .,2.0,13,کاردانی,"علوم آزمایشگاهی
",47,"ماهیگیر
",7
99,99,99,116,116,آمنه,"کهنمویی
",پاسداران - انتهای بوستان نهم - خ داوود اسلامی یا جعفری,-1.0,22,کارشناسی,"رشته‌های هنر و زبان
",36,"ماهیگیر
",14
100,100,100,117,117,سيدحسين,"جعفریان
",عبدل آباد - خ احسانی -  ک بیستم,0.0,17,کارشناسی ارشد,"عکاسی
",46,"دندان پزشک  
",4
101,101,101,119,119,حديث,"اعتبار
",خ پیروزی - خ نبرد - نرسیده به چهار راه فرزانه -نبش  کوچه شاه محمدی,0.0,17,کاردانی,"مهندسی شهرسازی
",36,"مهندس راه آهن 
",17
102,102,102,120,120,محمدصادق,"لاهوتی
",جوادیه . خ طارمی .,1.0,23,0,"مهندسی کشتی
",31,"خواننده
",0
103,103,103,121,121,سهيلا,"روزبه
",اتوبان همت غرب لاین سرعت .بعد از جنت اباد قبل از خیابان کویری تامه,0.0,15,فوق لیسانس,,37,"کارشناس بازرگانی داخلی و خارجی
",13
104,104,104,122,122,محمدطاها,"مجرد
",میدان شهر ری  - خ جاده قم - ک مختار خان,2.0,19,دیپلم,"تکنولوژی مرتع و آبخیزداری
",33,"0
",16
105,105,105,124,124,مطهره,"خمسه
",خلیج بلوار خلیج فارس شهرک سینا کوچه 35شهید شیرودی انتهای کوچه کوی مهر,-1.0,20,0,"کاردرمانی
",39,"کتابداران
",14
106,106,106,125,125,قاسم,"اللهیاری
",لویزان - شیان - ک شقایق - شیان 5 - جنب,1.0,13,فوق دیپلم,,53,"طراح لباس
",25
107,107,107,126,126,سيدمهدي,"خداپناهی
",بلوار ابوذر - کوچه ایراندوست -نبش کوچه املاک بیاتانی,2.0,15,فوق لیسانس,"مهندسی معدن
",24,"دندان پزشک  
",6
108,108,108,127,127,ندا,"داودی
",مهراباد جنوبی . خ شمشیری . کوچه کرمی,0.0,23,لیسانس,,47,"کشاورز 
",14
109,109,109,128,128,عرفان,"گل محمدی
",افسریه شهرک والفجر,2.0,22,کارشناسی,"مدیریت و کمیسر دریایی
",37,"مهندسی کامپیوتر
",10
110,110,110,129,129,مژگان,"انتظامی
",مسگر اباد-خ گلزار شهدا-,-1.0,12,فوق دیپلم,"زبان روسی
",41,"مهندسی کامپیوتر
",16
111,111,111,130,130,پروين,"هدایت
",خ جمهوری - بعد از باغ  سپهسالار - ک علیپور کرمی,0.0,25,فوق لیسانس,"هوش‌بری
",46,"نوازنده
",15
112,112,112,133,133,فريده,"مجرد
",الهیه مریم شرقی خ مهدیه خ جبهه بن بست لسانی  کوچه گلستان .,-1.0,18,کارشناسی,"آرگونومی
",35,"کشاورز 
",7
113,113,113,134,134,يوسف,"شجاعی
",سوم نیروی هوایی - ابتدای کوچه 2/22,2.0,20,فوق لیسانس,"پدافند جنگ‌های میکروبی
",48,,5
114,114,114,135,135,پريسا,"شادمهر
",جلال آل احمد  - شایق شمالی - بن بست پنجم  -  ملک  در حال ساخت,2.0,22,فوق دکترا,"مهندسی فناوری اطلاعات
",45,"مهندسی نساجی
",7
115,115,115,136,136,شهناز,"هاشمی
",سیمون بولیوار -خیابان شاهد -,-1.0,23,فوق دیپلم,"داروسازی
",44," مددکار
",7
116,116,116,139,139,ايمان,"شهیدی
",شهر ری میدان نماز خ پاک طینت کوچه عباسی,-1.0,24,کارشناسی,"زبان و ادبیات عربی
",45,"ویزیتور
",10
117,117,117,140,140,جعفر,"جعفریان
",اسکندری بعد از کلهر,1.0,16,سیکل,"فیزیک
",26,"ماما
",1
118,118,118,143,143,ام البنين,"سبزواری
",خ نعمت اباد خ طالقانی ک,0.0,18,کارشناسی ارشد,"کارشناسی چندرسانه‌ای
",45,"مکانیک  
",3
119,119,119,144,144,رضوان,"لنکرانی
",خ پیروزی-خ مقداد -فلکه دوم -نبش ک کلاله جو  فضای سبز بوستان مقداد,2.0,17,کاردانی,"مهندسی معماری
",34,"کارشناس روابط عمومی  
",3
120,120,120,145,145,نفيسه,"پارسی
",خ هفتم سی متری نیروهوایی نبش خ احمد زاده کابینت کوروش,-1.0,25,کارشناسی,"هوش‌بری
",43,"مهندس شیمی
",1
121,121,121,147,147,ستايش,"ساعی
",جنت آباد. شمالی. خ کوروش غربی. خ آزادگان. کوچه ششم.,2.0,25,کاردانی,"مرمت آثار تاریخی
",28,"-1
",12
122,122,122,148,148,منصور,"زین‌الدین
",خ استاد حسن بنا شمالی. بالتر از سه راه دیاله. ک سعیدی,-1.0,14,دیپلم,"مهندسی بازرسی فنی
",28," برنامه نویس 
",0
123,123,123,149,149,زهراسادات,"شیروانی
",خ دامپزشکی . تقاطع قصر دشت . ضلع شمال شرقی خیابان .,1.0,24,لیسانس,"مهندسی بهداشت محیط
",26,"نوازنده
",9
124,124,124,150,150,حديثه,"امانی
",بلوار افریقا نبش,-1.0,24,دکترا,"علوم تغذیه
",28,"-1
",0
125,125,125,151,151,سيده فاطمه,"جنتی
",مجیدیه جنوبی استاد حسن بنا  انتهای رودخانه روبه روی مترو صیاد شیرازی,0.0,21,لیسانس,"علوم آزمایشگاهی
",35,"فیزیوتراپی
",3
126,126,126,153,153,محمدصالح,"گلپایگانی
",خ سهروردی جنوبی .ک لشگری .,-1.0,17,کاردانی,"ترویج و آموزش کشاورزی
",55,"مسئول وصول مطالبات
",7
127,127,127,155,155,غلامحسين,"مقدم
",شهران . خ سمیه غربی . نبش ک عمار .,2.0,25,سیکل,"مهندسی نفت
",36,"اپراتور لوکوموتیو
",6
128,128,128,156,156,مليكا,"لنکرانی
",تهران نو خیابان سفید کوه نبش مسیل جاجرود,1.0,13,-1,"سینما
",33,"صندوقدار  
",12
129,129,129,158,158,عبداله,"مشا
",خ خاوران - خ مخبر جنوبی - ک سید محمد روحانی,2.0,25,کاردانی,"زبان انگلیسی
",41,"اپتومتریست
",4
130,130,130,159,159,نگار,"زهرایی
",بزرگراه شیخ فیض الله نوری غرب ب شرق-حد فاضل سه راه و یادگار امام تا جناح,-1.0,23,کارشناسی ارشد,"رشته‌های تجربی
",17,"پلیس 
",1
131,131,131,160,160,كاظم,"شبستری
",سهروردی شمالی کوچه اشراقی,1.0,16,فوق دیپلم,"مهندسی معدن
",48,"کارشناس فروش 
",6
132,132,132,161,161,اسماء,"پارسا
",میدان راضی خیابان حلال احمر خیابان قدمی کوچه ناصری,2.0,19,کارشناسی,"کاردرمانی
",34,"تکنسین اتاق عمل 
",15
133,133,133,163,163,ثريا,"هامون
",پونک خیابان سردار جنگل خیابان بهار شرقی کوچه فجر 2,-1.0,23,-1,"زبان انگلیسی
",36,"-1
",1
134,134,134,164,164,حكيمه,"محمدی
",میدان صادقیه - خ سازمان - خ هاجی پور امیر - انتهای دیهیم -,1.0,16,دکترا,"رشته‌های تجربی
",39,"دندان پزشک  
",18
135,135,135,165,165,حنانه,"آریان‌پور
",میدان خراسان ابتدای خ خاوران,1.0,17,کارشناسی ارشد,"مهندسی معدن
",22,"مهندس برق، الکترونیک، مخابرات
",11
136,136,136,166,166,فاطمه السادات,"مجتهدی
",ازادی- خ جیحون-بین طوس ودامپزشکی-,-1.0,20,لیسانس,"فوریت‌های پزشکی
",21,"مهندس پلیمر  
",10
137,137,137,167,167,هستي,"سیف
",خ 17 شهریورجنوبی.پایین تر ازتیردوقلو.,-1.0,22,دکترا,"ادبیات داستانی
",20,"کارشناس روابط عمومی  
",10
138,138,138,168,168,آسيه,"شیرازی
",بزرگراه بابایی شرق,0.0,16,فوق لیسانس,"تکنولوژی مرتع و آبخیزداری
",22,"مشاور
",4
139,139,139,169,169,آزاده,"لاجوردی
",پاسداران - بلوار شهرزاد - خ یارمحمدی - بن بست سایه - ملک در حال ساخت انتهای بن بست,0.0,16,ندارد,"کاردان فنی مکانیک
",25,"مکانیک  
",8
140,140,140,173,173,حسينعلي,"اوستا
",خ لاله زار جنوبی ازم امام خمینی تا خ جمهوری,0.0,20,فوق دیپلم,"زبان فرانسوی
",31,"کارشناس سخت افزار  
",4
141,141,141,174,174,شهلا,"انتظامی
",خ قزو ین  -  بعداز پم,-1.0,15,ندارد,"زراعت و اصلاح نباتات
",32,,2
142,142,142,175,175,حانيه,"حائری
",شمیران نو . میدان پاکدامن,0.0,22,کارشناسی ارشد,"تاریخ
",24,"مسئول دفتر
",0
143,143,143,176,176,سيدرضا,"کیانی
",چهارراه نظام آباد . ابتدای مدنی جنوبی . بوستان مینا,1.0,19,دکترا,"مهندسی بهداشت حرفه‌ای
",40,"0
",15
144,144,144,177,177,ليلي,"خوئینی
",خ بوسنی نبش کوه یار,-1.0,19,لیسانس,"هوانوردی
",46,"0
",20
145,145,145,179,179,دانيال,"راسخ
",خ پیروز جنوبی .,0.0,22,کاردانی,"تکنولوژی تولیدات دامی
",28,"ماما
",2
146,146,146,180,180,عباسعلي,"مطهری
",دروازه شمیران . 20 متری روشندلان .,-1.0,12,ندارد,"مهندسی نفت
",26,"نجاری
",3
147,147,147,182,182,محمدهادي,"روحانی
",جاده ساوره.شهرک صادقیه.پانزده متری طالقانی.یعقوبی.,2.0,18,0,"مددکاری اجتماعی
",25,"مهندس عمران  
",10
148,148,148,184,184,حجت,"صانعی
",نبرد خ دامیار کوچه ابوذر یکم,1.0,16,دیپلم,"مهندسی نساجی
",40,"تکنسین اتاق عمل 
",16
149,149,149,185,185,راحله,"شریف
",خ اذربایجان,1.0,19,ندارد,"کاردان فنی مکانیک
",46,"داروسازی
",6
150,150,150,186,186,مرجان,"هوشیار
",شهرآرا - هخامنش شمالی - انتهای کوچه کلو,-1.0,24,فوق لیسانس,,29,"مهندسی نساجی
",4
151,151,151,187,187,عبدالرضا,"زرشناس
",تهرانپارس پایین تر از میدان پروین بین کوچه 194 و 190,2.0,13,0,"مهندسی مکانیک نیروگاه
",42,"مهندسی نساجی
",13
